Char,Width,"P. count",Pixels
=a,=7,=30,"=1,0,71,2,0,0,3,0,0,4,1,40,2,2,145,3,2,0,4,2,0,1,3,184,4,3,119,0,4,142,4,4,0,1,5,0,2,5,0,3,5,73,4,5,36,"
=b,=9,=48,"=0,0,110,0,1,73,0,2,71,1,2,117,2,2,0,3,2,0,4,2,184,0,3,71,1,3,196,4,3,199,0,4,71,5,4,155,0,5,69,5,5,147,0,6,71,1,6,196,4,6,178,0,7,107,1,7,157,2,7,0,3,7,0,"
=C,=9,=56,"=2,0,184,3,0,0,4,0,0,5,0,0,6,0,174,1,1,71,1,2,220,0,3,144,0,4,147,1,5,234,1,6,113,2,7,196,3,7,0,4,7,0,5,7,0,6,7,184,"
=c,=7,=30,"=2,0,0,3,0,0,4,0,52,1,1,105,0,2,129,0,3,104,1,4,110,2,5,0,3,5,0,4,5,51,"
=D,=9,=56,"=0,0,146,1,0,0,2,0,0,3,0,0,4,0,143,0,1,92,5,1,100,0,2,95,0,3,94,6,3,196,0,4,95,6,4,184,0,5,94,0,6,94,5,6,92,0,7,139,1,7,0,2,7,0,3,7,0,4,7,143,"
=d,=9,=48,"=5,0,110,5,1,73,2,2,0,3,2,0,4,2,110,5,2,74,1,3,184,4,3,199,5,3,78,0,4,143,5,4,76,0,5,143,5,5,75,1,6,194,4,6,184,5,6,74,1,7,190,2,7,0,3,7,0,4,7,143,5,7,115,"
=E,=9,=40,"=0,0,79,1,0,0,2,0,0,3,0,0,4,0,156,0,1,51,0,2,52,0,3,51,0,4,52,1,4,0,2,4,0,3,4,0,0,5,52,0,6,52,0,7,76,1,7,0,2,7,0,3,7,0,4,7,52,"
=e,=7,=36,"=2,0,0,3,0,0,4,0,143,1,1,143,0,2,143,1,2,0,2,2,0,3,2,0,4,2,0,5,2,112,0,3,175,1,4,115,2,5,0,3,5,0,4,5,71,"
=F,=9,=32,"=0,0,112,1,0,0,2,0,0,3,0,0,0,1,71,0,2,73,0,3,72,0,4,73,1,4,0,2,4,0,3,4,0,0,5,73,0,6,73,0,7,107,"
=f,=9,=24,"=2,0,0,1,1,73,0,2,109,1,2,0,2,2,0,1,3,78,1,4,72,1,5,71,1,6,72,1,7,108,"
=G,=9,=64,"=2,0,184,3,0,0,4,0,0,5,0,0,6,0,174,1,1,107,1,2,220,0,3,181,0,4,147,6,4,0,7,4,203,7,5,79,1,6,76,6,6,220,7,6,72,2,7,157,3,7,0,4,7,0,5,7,36,6,7,184,7,7,116,"
=H,=9,=56,"=0,0,112,6,0,103,0,1,71,6,1,69,0,2,73,6,2,69,0,3,72,6,3,73,0,4,73,1,4,0,2,4,0,3,4,0,4,4,0,5,4,0,6,4,70,0,5,73,6,5,79,0,6,73,6,6,74,0,7,107,6,7,111,"
