Char,Width,"P. count",Pixels
=E,=11,=50,"=0,0,0,1,0,0,2,0,0,3,0,0,4,0,0,0,1,0,0,2,0,0,3,0,0,4,0,0,5,0,1,5,0,2,5,0,3,5,0,0,6,0,0,7,0,0,8,0,0,9,0,1,9,0,2,9,0,3,9,0,4,9,0,"
=s,=8,=28,"=1,0,0,2,0,0,3,0,142,5,0,0,0,1,0,0,2,0,1,3,46,2,3,22,3,4,0,0,5,139,3,5,0,0,6,117,1,6,0,2,6,0,"
=t,=10,=36,"=1,0,24,1,1,0,0,2,0,1,2,0,2,2,0,3,2,48,1,3,0,1,4,0,1,5,0,1,6,0,1,7,48,2,8,47,3,8,0,"
=e,=8,=42,"=2,0,0,3,0,0,4,0,118,1,1,73,4,1,94,5,1,147,0,2,0,5,2,26,0,3,0,1,3,0,2,3,0,3,3,0,4,3,0,5,3,0,0,4,0,0,5,136,1,5,68,2,6,23,3,6,0,4,6,48,"
=a,=8,=42,"=1,0,94,2,0,0,3,0,0,4,0,72,4,1,121,5,1,75,5,2,0,1,3,123,2,3,50,3,3,0,4,3,0,5,3,0,0,4,49,5,4,0,0,5,0,4,5,75,5,5,0,1,6,51,2,6,0,3,6,26,5,6,0,"
=n,=8,=42,"=0,0,0,2,0,75,3,0,0,4,0,25,0,1,0,1,1,25,5,1,0,0,2,0,5,2,0,0,3,0,5,3,0,0,4,0,5,4,0,0,5,0,5,5,0,0,6,0,5,6,0,"
=g,=11,=50,"=1,0,75,2,0,0,3,0,100,4,0,0,0,1,99,1,1,124,4,1,0,0,2,0,4,2,0,0,3,0,4,3,0,0,4,0,4,4,0,0,5,102,1,5,128,4,5,0,1,6,52,2,6,0,3,6,78,4,6,0,4,7,0,3,8,132,4,8,79,1,9,26,2,9,0,3,9,105,"
=r,=8,=21,"=0,0,0,2,0,24,0,1,0,1,1,24,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,"
=m,=8,=70,"=0,0,0,2,0,71,3,0,0,4,0,46,7,0,0,8,0,0,0,1,0,1,1,24,5,1,24,6,1,68,9,1,0,0,2,0,5,2,0,9,2,0,0,3,0,5,3,0,9,3,0,0,4,0,5,4,0,9,4,0,0,5,0,5,5,0,9,5,0,0,6,0,5,6,0,9,6,0,"
=v,=8,=42,"=0,0,24,5,0,0,1,1,97,5,1,70,1,2,0,4,2,47,1,3,70,4,3,0,2,4,46,3,4,139,4,4,117,2,5,0,3,5,0,2,6,115,3,6,23,"
