Char,Width,"P. count",Pixels
=6,=9,=40,"=2,0,6,612,3,0,43,604,1,1,43,604,0,2,86,258,0,3,128,433,2,3,50,409,3,3,6,29,0,4,128,637,4,4,29,620,0,5,85,275,4,5,128,637,0,6,128,62,4,6,43,604,1,7,62,604,2,7,59,604,3,7,43,604,"
=5,=9,=32,"=0,0,85,629,1,0,43,604,2,0,43,604,0,1,43,604,0,2,43,67,0,3,43,604,1,3,67,555,2,3,6,79,3,4,79,428,3,5,45,555,3,6,43,620,0,7,6,612,1,7,43,604,2,7,6,612,"
=.,=2,=1,"=0,0,128,637,"
=1,=9,=24,"=1,0,6,415,1,1,11,415,1,2,59,409,1,3,43,409,1,4,43,409,1,5,43,409,1,6,43,19,0,7,43,604,1,7,85,629,2,7,19,612,"
=8,=9,=40,"=1,0,6,612,2,0,43,360,3,0,43,122,0,1,85,478,4,1,122,596,0,2,43,22,1,3,22,365,2,3,94,17,3,3,86,307,1,4,94,596,3,4,17,79,0,5,6,563,4,5,79,629,0,6,40,29,4,6,85,629,1,7,29,620,2,7,45,604,3,7,43,604,6,7,128,637,"
=2,=9,=32,"=1,0,43,604,2,0,6,168,3,0,43,312,3,3,6,612,2,4,128,587,1,5,128,587,0,7,128,637,1,7,61,604,2,7,59,604,3,7,43,604,"
=0,=9,=40,"=1,0,43,604,2,0,43,409,3,0,43,122,0,1,128,587,4,1,122,596,0,2,43,620,4,2,128,637,0,3,128,637,4,3,43,604,0,4,128,637,4,4,43,604,0,5,85,428,4,5,85,629,0,6,86,17,4,6,86,596,1,7,17,513,2,7,51,604,3,7,6,612,"
=7,=9,=40,"=0,0,43,604,1,0,43,604,2,0,43,409,3,0,43,67,4,0,128,637,4,1,67,604,3,2,128,587,3,3,43,620,2,5,85,629,2,6,128,587,1,7,6,612,"
=8,=9,=40,"=1,0,6,612,2,0,43,360,3,0,43,122,0,1,85,478,4,1,122,596,0,2,43,22,1,3,22,365,2,3,94,17,3,3,86,307,1,4,94,596,3,4,17,79,0,5,6,563,4,5,79,629,0,6,40,29,4,6,85,629,1,7,29,620,2,7,45,604,3,7,43,604,6,7,6,612,"
=3,=9,=32,"=1,0,43,507,2,0,43,31,3,1,31,470,3,2,5,612,2,3,43,19,3,4,19,267,3,6,86,596,0,7,6,612,1,7,45,604,2,7,6,612,"
=4,=9,=40,"=3,0,43,67,4,0,43,604,3,1,128,62,4,1,67,604,2,2,86,403,4,2,62,604,1,3,43,604,4,3,51,604,4,4,51,213,0,5,85,629,1,5,59,604,2,5,59,409,3,5,6,69,4,5,83,629,4,6,69,604,4,7,51,604,"
=8,=9,=40,"=1,0,6,612,2,0,43,360,3,0,43,122,0,1,85,478,4,1,122,596,0,2,43,22,6,2,86,258,1,3,22,365,2,3,94,17,3,3,86,307,6,3,128,433,1,4,94,596,3,4,17,79,6,4,128,637,0,5,6,563,4,5,79,629,6,5,85,275,0,6,40,29,4,6,85,629,6,6,128,62,1,7,29,620,2,7,45,604,3,7,43,604,"
=9,=9,=40,"=1,0,6,612,2,0,43,263,3,0,43,164,0,1,43,620,0,2,45,555,4,2,82,629,0,3,83,26,4,3,128,637,1,4,26,620,2,4,45,457,4,4,128,637,4,5,61,604,3,6,86,596,0,7,128,587,1,7,45,604,2,7,6,612,"
=8,=9,=40,"=1,0,6,612,2,0,43,360,3,0,43,122,0,1,85,478,4,1,122,596,0,2,43,22,4,2,144,587,1,3,22,365,2,3,94,17,3,3,86,307,1,4,94,596,3,4,17,79,0,5,6,563,4,5,79,629,0,6,40,29,4,6,85,629,1,7,29,620,2,7,45,604,3,7,43,604,"
